headword,pos,level,sentence,source_grammar_lesson_id
twenty,number,A1,What kind of apples are those? They are twenty.,23
glasses,noun,A1,Where are my glasses?,20
six,number,A1,Has the girl got six books?,17
many,pronoun,A1,Do many eat breakfast?,50
listen,verb,A1,What have you got to listen to?,13
Mr./Mr,noun,A1,He is Mr. Smith.,66
city,noun,A1,What kind of city is this?,23
build,verb,A1,It isn't a sandcastle we build.,3
the,determiner,A1,Let's not eat the cake yet.,48
lot,adverb,A1,Who is it? - It's a lot of people.,9
sing,verb,A1,That's a bird. The bird can sing.,16
seventy,number,A1,What colour shirts do seventy people wear?,54
would,modal auxiliary,A1,Where would you like to go?,61
bar,noun,A1,There are no bars on the door.,40
airplane/aeroplane,noun,A1,This is an airplane.,9
yellow,adjective,A1,Where does the sun shine? It shines on a yellow car.,61
finish,noun,A1,This is the end. The end is a finish.,16
p.m./P.M./pm/PM,adverb,A1,She calls me at 8 p.m.,46
kitchen,noun,A1,She shows me the kitchen.,46
snow,noun,A1,They give me snow.,46
stylist,noun,B2,She had always been a talented stylist.,151
illness,noun,B1,His illness prevented him from attending the meeting.,129
fellow,noun,B1,My old fellow fixed the bike last week.,117
syllabic,adjective,C2,I will be able to learn the syllabic structure of the new language.,141
derelict,noun,C2,Some derelict lay abandoned by the roadside.,171
well-organized/well-organised,adjective,B2,Your presentation will be well-organized by the team.,146
CD,noun,A1,He doesn't listen to a CD.,58
well-built,adjective,B2,The **well-built** athlete fought bravely for the championship.,149
host,noun,A2,The host may not enter without an invitation.,97
improper,adjective,B1,He **washed** his hands with improper soap.,114
initial,noun,B1,The teacher corrected the initial.,114
staple,noun,C1,This office can't function without a proper staple remover.,85
thirteen,number,A1,Are there thirteen apples in the bag?,41
bravery,noun,B2,His bravery was seen by everyone.,151
decide,verb,A2,"We must decide soon, mustn't we?",95
main course,noun,A2,Can I have the main course now?,86
caravan,noun,B2,The old caravan had cost them a fortune to restore.,148
specification,noun,C1,Has the architect got the detailed specification for the new bridge?,17
protagonist,noun,C1,"The protagonist, having already *seen* the danger, *flew* from the collapsing tower.",155
quarrel,noun,B2,We try to avoid any sort of quarrel.,169
principle,noun,B1,"He didn't agree with that principle, did he?",138
advice,noun,A2,Her advice is the best advice I've ever received.,106
exclude,verb,B2,They excluded the possibility of a last-minute change to the plans.,153
round,preposition,B2,They celebrated the successful completion of the project by going round the town for drinks.,169
deficiently,adverb,C2,Have you noticed if the team has been performing deficiently in recent meetings?,162
worldwide,adjective,B2,The company has just achieved worldwide recognition for its innovative products.,160
axiom,noun,C2,Have you seen that famous mathematician's argument that relies on a controversial axiom?,162
theirs,pronoun,A2,Whose books are those? They look like theirs.,76
justly,adverb,C1,What must be decided justly?,93
sympathetic,adjective,B2,"My colleague has just lost her job, and I feel very sympathetic.",160
counterproductive,adjective,C2,His constant complaining was counterproductive to improving the situation.,164
infringe,verb,B2,The new law could infringe upon citizens' rights if not carefully implemented.,152
crash,noun,B1,The noisy car crash woke me up.,128
percentage,noun,B2,A significant percentage of the work is completed by the intern.,144
recommendation,noun,B2,Do you have any recommendation for a good local restaurant?,172
seedy,adjective,C2,Why was the alley so seedy?,159
faulty,adjective,B2,Some of the equipment in the lab is faulty.,171
remark,verb,B1,Who was it that made that strange remark?,137
dye,noun,B2,What new hair dye have you tried recently?,163
laundry,noun,B2,I've just finished the laundry.,160
affair,noun,A2,Who must organize the party affair?,94
fee,noun,A2,"You can pay the entrance fee, can't you?",89
creativity,noun,A2,My sister's creativity is higher than mine.,106
policewoman,noun,A2,"When the policewoman arrives, she will ask some questions.",103
secret,noun,A2,I will tell you my secret tomorrow.,78
alarm clock,noun,A2,"In case the alarm clock doesn't work, I will set my phone too.",104
shut,verb,A2,I'm shutting the window because it's raining.,70
graduation,noun,B1,My sister celebrated her graduation.,136
compulsory,adjective,B2,Attending the workshop became compulsory for all new employees.,143
pedestal,noun,C2,The trophy will be placed on a marble pedestal.,146
consultancy,noun,C1,My department cannot afford a new external consultancy at this time.,85
campaign,verb,C1,What is it? - It's how they campaign for increased public funding for the arts.,8
evolve,verb,B2,The company's business strategy began to evolve after the new marketing campaign was launched.,155
rhythmic,adjective,B2,Do you hear any rhythmic drumming from the festival?,172
resort,verb,C1,They resorted to drastic measures when negotiations failed.,124
