lang,level,topic_en,question
French,A1,your favorite color and why,Quelle est ta couleur préférée et pourquoi?
French,A1,your favorite place to eat,Quel est votre endroit préféré pour manger?
French,A1,your plans for the weekend,Qu'est-ce que tu vas faire ce week-end ?
French,A1,your favorite app or website,Quel est ton site web préféré pour regarder des vidéos ?
French,A1,your typical breakfast,Qu'est-ce que tu manges typiquement au petit-déjeuner ?
French,A1,your morning routine,Qu'est-ce que tu fais le matin ?
English,A1,your favorite season and why,What is your favorite season and why do you like it?
English,A1,a movie or show you watched recently,Did you like the film you watched last night?
English,A1,a pet you have or would like to have,Do you like dogs?
English,A1,how many people are in your family,How many people are in your family?
English,A1,your favorite way to relax,What do you like to do to unwind?
English,A1,a game you enjoy playing,What is your favorite game to play?
English,A1,your favorite type of music to relax to,What kind of music helps you relax the most?
English,A1,the room you are in right now,Is there a window in this room?
English,A1,your favorite color and why,What is your favorite color and why?
English,A1,the last gift you gave someone,What was the last gift you gave?
English,A1,your hobbies,What is your favorite hobby?
English,A1,your favorite way to spend a rainy day,What do you like to do when it rains?
English,A2,what is the weather like,What is the weather like today?
English,A2,the room you are in right now,What color is the wall next to you?
English,A2,the last gift you gave someone,What was the last gift you gave to your friend?
English,A2,your typical breakfast,What do you usually eat for breakfast?
English,A2,your plans for the weekend,What will you do this weekend?
English,A2,a skill you'd like to learn,What skill do you want to learn?
English,A2,something that made you happy recently,What made you smile yesterday?
English,A2,your neighborhood,What is your favorite place in your neighborhood?
English,A2,your hobbies,What do you like to do in your free time?
English,A2,your favorite way to spend a rainy day,What do you like to do when it rains?
English,A2,your favorite season and why,What is your favorite season and why?
English,A2,your favorite music,What kind of music do you enjoy listening to the most?
English,B1,a book you like,What is your favorite part of that book?
English,B1,the room you are in right now,Can you describe the colour of the walls in this room?
English,B1,how you'd describe your ideal weekend to a friend,What does your perfect weekend look like?
English,B1,the last gift you gave someone,What was the last gift you gave to someone?
English,B1,your favorite food,What is your absolute favorite dish to eat and why?
English,B1,what is the weather like,What's the weather like today?
English,B1,how technology has changed the way you learn,How has technology made it easier for you to find information when you study?
English,B1,something that made you happy recently,What was something that recently brought a smile to your face?
English,B1,your neighborhood,What is your favorite thing to do in your neighborhood?
English,B1,what did you do yesterday,What did you do yesterday?
English,B1,a movie or show you watched recently,What was your favorite scene in the movie you watched?
English,B1,your plans for the weekend,What are you planning to do this weekend?
English,B2,the biggest difference between your hometown and a big city,What is the most striking contrast you've observed between the pace of life in your hometown and that of a large metropolis?
English,B2,a game you enjoy playing,What is your favorite thing about playing that game?
English,B2,what is the weather like,Could you describe the weather outside today in a few words?
English,B2,your typical breakfast,Could you describe the most common breakfast you eat on a typical weekday?
English,B2,a pet you have or would like to have,What is one activity you would enjoy doing with a golden retriever if you had one?
English,B2,a recent trip or a place you'd like to visit,"If you could travel anywhere in the world for a week, where would you go and why?"
English,B2,your job or studies,What aspect of teaching English do you find most rewarding?
English,B2,your favorite holiday,What's your favorite holiday and why is it special to you?
English,B2,your favorite app or website,What's your favorite app or website and why do you enjoy using it?
